gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Athaliana_geneID,Gene_Function
Soltu.DM.04G008930,296.0493464,1.377165346,0.436614956,3.154187292,0.001609458,0.046041908,AT3G23240,ethylene-responsive element binding factor
Soltu.DM.04G009090,101.5903053,-1.279720107,0.362816167,-3.527186006,0.000420002,0.020184183,AT4G05530,indole-3-butyric acid response
Soltu.DM.04G009960,44.25943374,1.177272353,0.330189425,3.565445361,0.000363239,0.018371373,AT5G56040,Leucine-rich receptor-like protein kinase family protein
Soltu.DM.04G009990,278.3752891,-2.401222588,0.666526764,-3.6025899,0.000315062,0.016977495,AT5G50740,Heavy metal transport/detoxification superfamily protein 
Soltu.DM.04G011150,273.5824821,2.162154368,0.608069076,3.555770969,0.000376872,0.018769407,AT2G15490,UDP-glycosyltransferase 73B4
Soltu.DM.04G011790,7821.226341,1.213370085,0.318168102,3.813613235,0.00013695,0.009937986,AT2G41430,dehydration-induced protein (ERD15)
Soltu.DM.04G012230,18.2769092,1.602977747,0.516144127,3.105678556,0.00189843,0.049614422,AT1G76690,12-oxophytodienoate reductase
Soltu.DM.04G012690,530.1149261,2.884990766,0.694029443,4.156870857,3.23E-05,0.003583567,AT2G46760,D-arabinono-1;4-lactone oxidase family protein
Soltu.DM.04G021630,4058.234095,1.082116011,0.337249312,3.208652983,0.001333583,0.041772822,AT4G39780,Integrase-type DNA-binding superfamily protein
Soltu.DM.04G022480,21.26257206,1.481218125,0.431947484,3.429162524,0.000605447,0.02525015,AT2G22070,pentatricopeptide (PPR) repeat-containing protein
Soltu.DM.04G025520,262.6365137,2.003979924,0.512295532,3.911765379,9.16E-05,0.007555501,AT1G31130,conserved hypothetical protein
Soltu.DM.04G026000,1899.248855,2.578045012,0.655955351,3.930214162,8.49E-05,0.007133687,AT1G78780,pathogenesis-related family protein
Soltu.DM.04G026330,174.6417427,1.554654412,0.484875427,3.206296554,0.001344553,0.041836694,AT5G64660,CYS; MET; PRO; and GLY protein
Soltu.DM.04G026480,29.43421936,2.699864372,0.836683471,3.226864716,0.001251546,0.040848816,NA,hypothetical protein
Soltu.DM.04G027260,43.92717255,2.014879526,0.604009269,3.335842061,0.000850415,0.031378858,NA,ABA/WDS induced protein domain containing protein
Soltu.DM.04G027760,4694.354313,1.181598759,0.194468997,6.076026396,1.23E-09,1.17E-06,AT1G22770,gigantea protein (GI)
Soltu.DM.04G029620,213.2433419,-1.471793076,0.392164143,-3.753002667,0.000174729,0.011850001,AT1G78170,conserved hypothetical protein
Soltu.DM.04G030940,107.9597495,1.118097913,0.210743787,5.305484593,1.12E-07,5.44E-05,AT2G29760,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.04G031660,138.820022,2.195762911,0.561736953,3.908881012,9.27E-05,0.007602063,AT1G58340,MATE efflux family protein
Soltu.DM.04G031710,101.5245232,1.117174069,0.350651543,3.185995018,0.001442571,0.043496907,AT3G14250,RING/U-box superfamily protein
Soltu.DM.04G032210,2918.135642,-1.003424927,0.166417583,-6.029560747,1.64E-09,1.43E-06,AT1G44920,DUF3054 domain containing protein
Soltu.DM.04G032630,902.9289647,1.008128405,0.216155648,4.663900367,3.10E-06,0.000719278,AT1G27770,calcium ATPase
Soltu.DM.04G033090,289.5173858,1.237084859,0.29769895,4.155489495,3.25E-05,0.003586987,AT5G10600,cytochrome P450; family 81; subfamily K; polypeptide
Soltu.DM.04G033180,1584.001925,2.460036598,0.611337593,4.024023102,5.72E-05,0.005415269,AT4G37260,myb domain protein r1
Soltu.DM.04G033210,239.2875456,-3.143623996,0.582676103,-5.395148317,6.85E-08,3.82E-05,AT3G16150,N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
Soltu.DM.04G033650,1465.944895,2.893209802,0.33471331,8.643844496,5.44E-18,2.96E-14,AT5G42900,cold regulated gene
Soltu.DM.04G034610,872.206047,1.71078404,0.373737269,4.577504526,4.71E-06,0.000931798,AT4G31940,cytochrome P450; family 82; subfamily C; polypeptide
Soltu.DM.04G035790,36.41922224,1.390333849,0.376885388,3.689009695,0.000225129,0.01386905,AT4G39170,Sec14p-like phosphatidylinositol transfer family protein
Soltu.DM.04G035800,8388.652095,1.179614046,0.281338807,4.192859341,2.75E-05,0.003276923,AT1G19660,Wound-responsive family protein
Soltu.DM.04G035850,305.404934,-1.23900673,0.338996078,-3.654929399,0.000257253,0.015095321,AT1G35180,TRAM; LAG1 and CLN8 (TLC) lipid-sensing domain containing protein
Soltu.DM.04G037030,598.2426493,1.109852731,0.188958216,5.873535193,4.27E-09,3.44E-06,AT1G76040,calcium-dependent protein kinase
Soltu.DM.04G037270,232.479755,3.987268625,1.242088869,3.210131517,0.001326743,0.041772822,AT1G76140,Prolyl oligopeptidase family protein
Soltu.DM.04G037500,403.4050009,-1.623992649,0.289209215,-5.615286667,1.96E-08,1.42E-05,AT1G42430,conserved hypothetical protein
Soltu.DM.04G038130,56.04101748,1.308581667,0.262662009,4.981998245,6.29E-07,0.00022687,AT1G25360,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.04G038200,465.273755,-1.149234263,0.298669118,-3.84785099,0.000119158,0.00903183,AT2G33570,Domain of unknown function (DUF23)
Soltu.DM.04G038210,314.0053984,2.119778643,0.673839249,3.145822459,0.001656205,0.046643706,AT1G21000,PLATZ transcription factor family protein
Soltu.DM.05G000860,2469.929788,2.977285213,0.845864985,3.519811396,0.000431854,0.020617229,AT3G29575,ABI five binding protein
Soltu.DM.05G001610,44.69588806,1.166252266,0.319372561,3.651698393,0.000260512,0.015136228,AT1G68930,pentatricopeptide (PPR) repeat-containing protein
Soltu.DM.05G002540,805.1037029,1.020254257,0.26060211,3.914988476,9.04E-05,0.007483626,AT1G68820,Transmembrane Fragile-X-F-associated protein
Soltu.DM.05G004810,1232.379317,2.588783755,0.674039122,3.840702519,0.000122683,0.009115367,AT1G71000,Chaperone DnaJ-domain superfamily protein
Soltu.DM.05G006330,5589.15398,1.019433906,0.227307584,4.484821345,7.30E-06,0.001270934,AT1G69830,alpha-amylase-like
Soltu.DM.05G008150,135.2071998,1.590179311,0.45534262,3.492269865,0.000478934,0.022213166,AT1G10560,plant U-box
Soltu.DM.05G009520,28710.66484,1.468860532,0.220029664,6.675738638,2.46E-11,2.98E-08,AT1G10760,Pyruvate phosphate dikinase; PEP/pyruvate binding domain
Soltu.DM.05G010880,136.7984426,-1.004313856,0.301759474,-3.328193282,0.000874112,0.032036499,AT1G67630,DNA polymerase alpha
Soltu.DM.05G011790,696.7602247,1.276904041,0.382100274,3.341803524,0.00083236,0.030869621,AT1G67340,HCP-like superfamily protein with MYND-type zinc finger
Soltu.DM.05G012520,889.0480206,1.542558181,0.215285061,7.165189129,7.77E-13,1.69E-09,AT2G33500,B-box type zinc finger protein with CCT domain
Soltu.DM.05G017190,126.2302727,1.28653116,0.254269364,5.05971753,4.20E-07,0.000163228,NA,hypothetical protein
Soltu.DM.05G019720,11124.76007,1.197526767,0.195345065,6.130314908,8.77E-10,9.09E-07,AT5G25880,NADP-malic enzyme
Soltu.DM.05G019830,2856.97583,3.592660859,1.010180959,3.55645276,0.000375896,0.018768937,AT2G46270,G-box binding factor
Soltu.DM.05G019950,2655.084972,1.400237683,0.440979517,3.175289623,0.00149687,0.044396272,AT2G46370,Auxin-responsive GH3 family protein
Soltu.DM.05G019990,375.6345518,1.067819995,0.340827433,3.133022435,0.001730162,0.047617738,AT4G11070,WRKY family transcription factor
Soltu.DM.05G020050,831.8026909,1.233357206,0.36371284,3.391019152,0.000696332,0.027412577,AT5G53130,cyclic nucleotide gated channel
Soltu.DM.05G020580,33.2299046,-1.652281034,0.519539428,-3.180280354,0.001471326,0.043998316,AT2G44940,Integrase-type DNA-binding superfamily protein
Soltu.DM.05G021200,427.5319565,-1.031107964,0.329372879,-3.130518726,0.001744979,0.047844064,AT5G65400,alpha/beta-Hydrolases superfamily protein
Soltu.DM.05G022280,809.381223,-1.360449503,0.339577552,-4.006299875,6.17E-05,0.005615316,AT5G05270,Chalcone-flavanone isomerase family protein
Soltu.DM.05G022340,28.71533671,1.636552123,0.496548212,3.295857452,0.000981218,0.034790087,AT5G05340,Peroxidase superfamily protein
Soltu.DM.05G022450,203.8374719,2.016730954,0.507189533,3.976286622,7.00E-05,0.006159014,AT5G05410,DRE-binding protein 2A
Soltu.DM.05G022590,3590.227396,1.018966198,0.324296834,3.142078772,0.001677529,0.046987336,AT2G40140,zinc finger (CCCH-type) family protein
Soltu.DM.05G023010,6345.315819,2.639251618,0.799100743,3.30277708,0.000957325,0.034165502,AT3G11410,protein phosphatase 2CA
Soltu.DM.05G023720,100.3322611,1.208563604,0.385038468,3.138812626,0.001696339,0.047101375,AT1G15520,pleiotropic drug resistance
Soltu.DM.05G026040,1122.260808,-1.214701818,0.343644794,-3.534759842,0.000408146,0.019789169,AT5G04660,cytochrome P450; family 77; subfamily A; polypeptide
Soltu.DM.05G027180,18.02088657,-2.745715824,0.619586376,-4.431530343,9.36E-06,0.001497754,AT2G13610,ABC-2 type transporter family protein
Soltu.DM.06G002570,289.3647506,3.690093523,1.114205997,3.311859327,0.000926781,0.033305049,AT3G07350,Protein of unknown function (DUF506) 
Soltu.DM.06G003090,106.2242125,2.584345827,0.635215979,4.068452166,4.73E-05,0.004692135,NA,hypothetical protein
Soltu.DM.06G003240,30564.69161,1.082823874,0.256425879,4.222755824,2.41E-05,0.002998757,AT2G29630,thiaminC
Soltu.DM.06G003380,2730.081749,1.616717881,0.179731843,8.995166638,2.36E-19,2.57E-15,AT4G37300,maternal effect embryo arrest
Soltu.DM.06G003910,30.98286002,1.311605373,0.399127553,3.286180975,0.001015557,0.035357249,AT1G11290,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.06G003930,279.5176904,2.000909477,0.296126391,6.756944113,1.41E-11,1.80E-08,AT3G46640,Homeodomain-like superfamily protein
Soltu.DM.06G004200,5324.546331,1.010185311,0.276673771,3.65117845,0.00026104,0.015136228,AT2G28900,outer plastid envelope protein 16-1
Soltu.DM.06G006550,149.520168,3.982326538,1.258944259,3.163227054,0.001560306,0.045669423,AT5G52640,heat shock protein 81-2
Soltu.DM.06G009180,1583.101717,1.825476607,0.308447614,5.918271114,3.25E-09,2.72E-06,AT2G40080,Protein of unknown function (DUF1313)
Soltu.DM.06G009240,380.2759451,1.504853133,0.191504881,7.858040598,3.90E-15,1.21E-11,AT2G40080,Protein of unknown function (DUF1313)
Soltu.DM.06G010320,50.10647265,2.074384091,0.645497428,3.213620999,0.001310726,0.041691812,AT2G40340,DRE-binding protein 2A
Soltu.DM.06G010530,248.4753966,1.911068676,0.487167484,3.922816561,8.75E-05,0.007272159,AT3G10985,senescence associated gene
Soltu.DM.06G010580,538.7302962,6.596764107,1.439525642,4.582595761,4.59E-06,0.000931798,AT3G56200,Transmembrane amino acid transporter family protein
Soltu.DM.06G012850,1077.564272,-1.181342081,0.330563659,-3.573720366,0.000351945,0.017985535,AT5G51950,Glucose-methanol-choline (GMC) oxidoreductase family protein
Soltu.DM.06G013460,668.4466537,6.215281698,1.683970882,3.690848675,0.000223507,0.013862533,AT5G52640,heat shock protein 90.1
Soltu.DM.06G013730,165.8438449,6.195084082,1.337433209,4.632069877,3.62E-06,0.00081251,AT3G11410,protein phosphatase 2CA
Soltu.DM.06G014070,1226.249599,2.676148431,0.618585844,4.326236136,1.52E-05,0.002201365,AT2G46680,homeobox
Soltu.DM.06G015000,327.665298,2.41527674,0.577948576,4.179051289,2.93E-05,0.003371789,AT3G22830,heat shock transcription factor  A6B
Soltu.DM.06G017300,1257.98287,1.87152052,0.520180979,3.597825747,0.000320888,0.017091393,AT1G01720,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Soltu.DM.06G017960,883.2963672,1.398005772,0.348899533,4.006900663,6.15E-05,0.005615316,AT2G35710,Nucleotide-diphospho-sugar transferases superfamily protein
Soltu.DM.06G018660,1454.898486,1.598712534,0.46988637,3.402338601,0.000668118,0.026639066,AT4G17900,PLATZ transcription factor family protein
Soltu.DM.06G018970,14.20525323,2.194751156,0.611220925,3.590765738,0.000329708,0.017254184,AT5G25140,cytochrome P450; family 71; subfamily B; polypeptide
Soltu.DM.06G019440,3095.267583,-2.189630399,0.694739757,-3.151727502,0.001623077,0.046128432,AT2G45180,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Soltu.DM.06G019500,120.1817797,2.798722491,0.549197504,5.096021868,3.47E-07,0.000143954,NA,hypothetical protein
Soltu.DM.06G019540,166.134198,1.061217484,0.275169065,3.856601707,0.000114974,0.008869328,AT5G25280,serine-rich protein-related
Soltu.DM.06G021830,69.90771824,2.215039068,0.700815468,3.160659501,0.001574124,0.045669423,AT3G21150,B-box
Soltu.DM.06G022610,115.18872,-1.077078246,0.30211707,-3.565102254,0.000363714,0.018371373,AT4G26110,nucleosome assembly protein1;1
Soltu.DM.06G022980,128.6943173,3.71853155,0.964370537,3.855915759,0.000115297,0.008869328,AT5G56550,oxidative stress
Soltu.DM.06G023110,24.02244056,-1.760440843,0.465058777,-3.785415798,0.000153452,0.010638998,AT3G16240,delta tonoplast integral protein
Soltu.DM.06G023850,275.1945449,3.101734667,0.995125368,3.116928547,0.001827459,0.049001018,AT1G15330,Cystathionine beta-synthase (CBS) protein
Soltu.DM.06G024010,166.15267,3.323093676,0.922272244,3.60315915,0.000314373,0.016977495,AT5G25280,serine-rich protein-related
Soltu.DM.06G024310,2771.542266,2.094127202,0.582530383,3.594880648,0.00032454,0.017148648,AT1G80920,Chaperone DnaJ-domain superfamily protein
Soltu.DM.06G024900,732.3294018,-1.154126353,0.315156154,-3.662077798,0.000250178,0.01496256,AT1G73650,Protein of unknown function (DUF1295)
Soltu.DM.06G025430,193.3207599,2.018267821,0.556097695,3.629340384,0.000284146,0.015861196,AT5G60910,K-box region and MADS-box transcription factor family protein 
Soltu.DM.06G025760,1614.947612,1.606051266,0.328010189,4.896345661,9.76E-07,0.000303646,AT5G61380,CCT motif -containing response regulator protein
Soltu.DM.06G025780,40.93903889,1.585332659,0.46561345,3.404825737,0.000662063,0.026500174,AT5G61400,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.06G026880,230.2308511,6.294117256,1.439576669,4.372200102,1.23E-05,0.001859532,AT3G48240,Octicosapeptide/Phox/Bem1p family protein
Soltu.DM.06G026950,2765.145911,1.742135612,0.497259579,3.50347321,0.000459233,0.021592871,AT3G48360,BTB and TAZ domain protein
Soltu.DM.06G027540,20.49917147,-2.345616612,0.747326737,-3.138676161,0.001697129,0.047101375,AT3G17680,Kinase interacting (KIP1-like) family protein
Soltu.DM.06G028830,163.8479668,1.511775431,0.412944209,3.660967745,0.000251264,0.014967278,AT3G59300,Pentatricopeptide repeat (PPR) superfamily protein
Soltu.DM.06G030320,646.6856279,2.23273276,0.701842141,3.181246365,0.001466429,0.043972661,AT5G60790,ABC transporter family protein
Soltu.DM.06G030550,849.7730588,1.74156038,0.484847608,3.591974782,0.000328182,0.017215696,AT5G60680,Protein of unknown function; DUF584
Soltu.DM.06G031410,3665.768748,3.280740547,0.912035846,3.597161845,0.000321708,0.017091393,AT5G02500,heat shock cognate protein 70-1
Soltu.DM.06G031440,213.3034526,1.000477367,0.193764305,5.163372921,2.43E-07,0.000111228,AT2G28840,XB3 ortholog 1 in Arabidopsis thaliana
Soltu.DM.06G031490,594.9113241,1.829777342,0.548088006,3.338473609,0.0008424,0.031149936,AT1G07620,Protein of unknown function (DUF3741)
Soltu.DM.06G031660,277.6520845,1.933789996,0.252739036,7.651330916,1.99E-14,4.86E-11,AT3G46640,Homeodomain-like superfamily protein
Soltu.DM.06G031720,1687.539803,1.972330638,0.584231008,3.375943097,0.000735631,0.028344591,AT2G29380,highly ABA-induced PP2C gene
Soltu.DM.06G031870,2235.983191,5.450308766,1.606964197,3.391680272,0.000694654,0.027396066,AT1G07400,HSP20-like chaperones superfamily protein
Soltu.DM.06G031980,1288.74708,3.061981628,0.822676568,3.721975009,0.000197671,0.012936167,AT1G07350,RNA-binding (RRM/RBD/RNP motifs) family protein
Soltu.DM.06G032270,130.8929487,2.586823194,0.6712381,3.853808647,0.000116294,0.008892511,AT2G40080,Protein of unknown function (DUF1313)
Soltu.DM.06G032320,3007.035863,2.104508329,0.576823884,3.648441728,0.000263836,0.015194984,AT5G58620,zinc finger (CCCH-type) family protein
Soltu.DM.06G033930,47.28474589,-1.72679335,0.360665121,-4.787802453,1.69E-06,0.000447659,AT3G24750,conserved hypothetical protein
Soltu.DM.06G034500,125.4128891,-1.055943642,0.34015478,-3.104303407,0.001907276,0.049734031,AT1G04220,3-ketoacyl-CoA synthase
Soltu.DM.06G034820,2407.992979,2.323441119,0.690253074,3.366071383,0.00076247,0.028968528,AT3G63060,EID1-like
Soltu.DM.07G000030,426.5986143,-1.149369915,0.340554325,-3.374997262,0.000738164,0.028391936,AT2G07690,Minichromosome maintenance (MCM2/3/5) family protein
Soltu.DM.07G000310,1062.000481,1.110459728,0.318008647,3.491916769,0.000479568,0.022213166,AT2G24280,alpha/beta-Hydrolases superfamily protein
Soltu.DM.07G000470,4640.29117,-1.343353522,0.214119838,-6.273839617,3.52E-10,4.04E-07,AT2G24270,aldehyde dehydrogenase 11A3
Soltu.DM.07G000480,68.38368513,1.494050062,0.294485177,5.073430447,3.91E-07,0.000154649,AT2G24260,LJRHL1-like
Soltu.DM.07G001240,1687.580694,1.726130513,0.547211642,3.154411164,0.001608223,0.046041908,AT3G26618,eukaryotic release factor 1-3
Soltu.DM.07G001840,64.43118076,1.70017136,0.458943709,3.704531358,0.000211782,0.013441668,AT2G39780,ribonuclease
Soltu.DM.07G002320,29.85840397,1.237451703,0.397186458,3.115543538,0.001836062,0.049025298,AT3G15130,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.07G002500,17.84716245,1.600409383,0.510523668,3.134838761,0.001719486,0.047484942,NA,hypothetical protein
Soltu.DM.07G005240,96.10710353,1.038055611,0.33233119,3.123557592,0.001786789,0.04850174,AT4G21390,S-locus lectin protein kinase family protein
Soltu.DM.07G006220,2474.123561,1.131223604,0.245978562,4.598870711,4.25E-06,0.000889194,AT5G20700,Protein of unknown function (DUF581)
Soltu.DM.07G011640,67.78367289,-1.037894412,0.324124423,-3.20214812,0.001364068,0.042081364,AT4G29720,polyamine oxidase
Soltu.DM.07G011880,714.1248347,4.435310253,1.043275974,4.251329815,2.13E-05,0.002786887,AT2G26150,heat shock transcription factor A2
Soltu.DM.07G012130,5766.047369,1.47181526,0.468898267,3.138879718,0.00169595,0.047101375,AT5G57050,Protein phosphatase 2C family protein
Soltu.DM.07G012710,16123.97243,1.552686721,0.325347624,4.772392992,1.82E-06,0.000471812,AT5G60360,aleurain-like protease
Soltu.DM.07G012750,59.52039686,1.928978054,0.42519844,4.536653644,5.72E-06,0.001081947,AT2G05940,Protein kinase superfamily protein
Soltu.DM.07G012900,147.2650953,1.838076947,0.399594361,4.599857073,4.23E-06,0.000889194,AT1G17400,conserved hypothetical protein
Soltu.DM.07G013850,350.1274707,1.531679164,0.47095026,3.252316213,0.001144686,0.038524,AT3G21750,UDP-Glycosyltransferase superfamily protein
Soltu.DM.07G014000,720.8254318,1.871782017,0.42852012,4.368014315,1.25E-05,0.001882449,AT3G12750,zinc transporter 1 precursor
Soltu.DM.07G014000,720.8254318,1.871782017,0.42852012,4.368014315,1.25E-05,0.001882449,AT1G05300,zinc transporter 5 precursor
Soltu.DM.07G014090,1127.013707,1.536917067,0.30881029,4.976897198,6.46E-07,0.00022687,AT3G22200,Pyridoxal phosphate (PLP)-dependent transferases superfamily protein
Soltu.DM.07G014670,326.8307545,1.060858418,0.325359779,3.260570259,0.001111884,0.037919148,NA,AAA domain containing protein
Soltu.DM.07G018720,1449.439195,1.759197323,0.51263012,3.431708854,0.000599791,0.02525015,AT1G11360,Adenine nucleotide alpha hydrolases-like superfamily protein
Soltu.DM.07G019630,268.3236271,1.557283,0.422451668,3.686298619,0.000227539,0.01395361,AT2G20880,Integrase-type DNA-binding superfamily protein
Soltu.DM.07G020090,1387.523928,2.82554757,0.668417532,4.227219417,2.37E-05,0.002977292,AT5G44210,erf domain protein
Soltu.DM.07G021600,29.01401969,1.427484926,0.458954135,3.11029974,0.001868976,0.049535229,AT4G32300,S-domain-2
Soltu.DM.07G021700,2808.97973,1.864852798,0.368999055,5.053814556,4.33E-07,0.000165403,AT1G06460,alpha-crystallin domain 32.1
Soltu.DM.07G021710,323.3038807,2.159018391,0.53968438,4.000520433,6.32E-05,0.005678307,AT3G57030,Calcium-dependent phosphotriesterase superfamily protein
Soltu.DM.07G022200,882.8620389,2.09251652,0.542126531,3.859830506,0.000113466,0.008790563,AT3G07600,Heavy metal transport/detoxification superfamily protein 
Soltu.DM.07G024500,139.5722135,1.55984213,0.313410008,4.977001653,6.46E-07,0.00022687,AT1G52920,G protein coupled receptor
Soltu.DM.07G024630,494.2221409,-1.372844152,0.309127544,-4.441028232,8.95E-06,0.001476568,AT1G61810,beta-glucosidase
Soltu.DM.07G024710,1480.709819,3.129353719,0.89890738,3.481286047,0.000499012,0.022726981,AT4G27410,NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
Soltu.DM.07G025140,949.4934267,1.30564228,0.403564007,3.235279304,0.001215238,0.039842966,AT4G27290,S-locus lectin protein kinase family protein
Soltu.DM.07G025150,139.9768461,1.003333285,0.289975343,3.460064141,0.000540047,0.023944638,AT3G20640,basic helix-loop-helix (bHLH) DNA-binding superfamily protein
Soltu.DM.07G026560,46.29039101,-2.04885349,0.399124145,-5.133373951,2.85E-07,0.000121482,AT2G32990,glycosyl hydrolase 9B8
Soltu.DM.07G027040,31.23139658,-1.294444037,0.290834681,-4.450789822,8.56E-06,0.001432718,AT5G61750,RmlC-like cupins superfamily protein
Soltu.DM.08G000370,80.55352461,-1.206985598,0.283385625,-4.259163096,2.05E-05,0.002723821,AT1G12420,ACT domain repeat
Soltu.DM.08G000480,159.07034,1.95451054,0.622127097,3.14165795,0.001679942,0.046987336,AT1G62790,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Soltu.DM.08G000980,22.62974244,1.426155339,0.448169161,3.182180888,0.001461705,0.043891471,AT4G16820,alpha/beta-Hydrolases superfamily protein
Soltu.DM.08G001760,84.86557632,1.595262583,0.437038086,3.650168331,0.000262069,0.015136228,AT2G36690,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Soltu.DM.08G002090,928.5125138,1.031864814,0.32383617,3.186379128,0.001440657,0.043496907,AT5G10650,RING/U-box superfamily protein
Soltu.DM.08G002160,61.60272983,-1.480500836,0.339579526,-4.359805952,1.30E-05,0.001941076,AT2G24580,FAD-dependent oxidoreductase family protein
Soltu.DM.08G003230,144.7732279,-1.706641448,0.539955267,-3.160708959,0.001573857,0.045669423,AT4G19380,Long-chain fatty alcohol dehydrogenase family protein
Soltu.DM.08G005170,546.3990151,1.038544419,0.249804581,4.157427434,3.22E-05,0.003583567,AT4G10730,Protein kinase superfamily protein
Soltu.DM.08G008540,79.09165476,1.515762459,0.459495833,3.298751262,0.000971159,0.034545975,AT1G30370,alpha/beta-Hydrolases superfamily protein
Soltu.DM.08G010200,61.54663575,4.180294105,0.944500986,4.425928788,9.60E-06,0.001525937,AT3G48280,cytochrome P450; family 71; subfamily B; polypeptide
Soltu.DM.08G010200,61.54663575,4.180294105,0.944500986,4.425928788,9.60E-06,0.001525937,AT3G26300,cytochrome P450; family 71; subfamily B; polypeptide
Soltu.DM.08G010200,61.54663575,4.180294105,0.944500986,4.425928788,9.60E-06,0.001525937,AT3G48320,cytochrome P450; family 71; subfamily A; polypeptide
Soltu.DM.08G011270,201.1607535,1.181707086,0.287426913,4.111330674,3.93E-05,0.00417756,AT4G32295,conserved hypothetical protein
Soltu.DM.08G013100,685.0326539,1.384605404,0.337698789,4.100119548,4.13E-05,0.00430126,AT4G33050,calmodulin-binding family protein
Soltu.DM.08G013140,3335.846815,1.828652234,0.439660256,4.159239346,3.19E-05,0.003583176,AT2G26150,heat shock transcription factor A2
Soltu.DM.08G013900,146.8788285,1.520534004,0.331534743,4.586348905,4.51E-06,0.000926384,NA,hypothetical protein
Soltu.DM.08G013990,1446.96892,1.896186297,0.590001141,3.213868865,0.001309595,0.041691812,AT1G55340,Protein of unknown function (DUF1639)
Soltu.DM.08G014110,2340.498634,2.028903041,0.622892665,3.257227375,0.001125063,0.038210009,AT2G19810,Zinc finger C-x8-C-x5-C-x3-H type family protein
Soltu.DM.08G015120,968.6336112,1.241214946,0.303136693,4.094571765,4.23E-05,0.004384575,AT3G14440,nine-cis-epoxycarotenoid dioxygenase
Soltu.DM.08G015120,968.6336112,1.241214946,0.303136693,4.094571765,4.23E-05,0.004384575,AT3G63520,carotenoid cleavage dioxygenase
Soltu.DM.08G017020,16914.35811,1.86439189,0.538691236,3.4609657,0.000538241,0.023935891,AT5G25560,CHY-type/CTCHY-type/RING-type Zinc finger protein
Soltu.DM.08G020110,7852.834646,2.114798673,0.597960697,3.536685076,0.000405182,0.019733385,AT4G19390,conserved hypothetical protein
Soltu.DM.08G020380,205.3857404,1.464056126,0.317087808,4.61719464,3.89E-06,0.000841312,AT1G31790,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.08G022540,2046.908616,1.933936077,0.605622481,3.193302987,0.001406553,0.042921382,AT4G17940,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.08G022680,1918.675876,1.931666103,0.569780254,3.390194887,0.00069843,0.027445507,AT4G17900,PLATZ transcription factor family protein
Soltu.DM.08G023200,28.3524609,1.043737706,0.334889279,3.116665036,0.001829093,0.049001018,AT3G29230,Tetratricopeptide repeat (TPR)-like superfamily protein
Soltu.DM.08G023420,5577.876803,2.399241431,0.393736909,6.093514162,1.10E-09,1.09E-06,AT4G17090,chloroplast beta-amylase
Soltu.DM.08G023710,231.0800376,1.26094469,0.341822703,3.688885138,0.000225239,0.01386905,AT5G55410,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Soltu.DM.08G025020,18.29039976,1.368664453,0.440365546,3.108018931,0.00188346,0.049545377,AT3G07040,Disease resistance protein (CC-NBS-LRR class) family
Soltu.DM.08G025250,64.50459599,-4.262139671,1.280769613,-3.327795747,0.00087536,0.032036499,AT4G12510,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Soltu.DM.08G026840,916.8861038,-1.413055571,0.299081311,-4.724653521,2.31E-06,0.000570245,AT1G12570,Glucose-methanol-choline (GMC) oxidoreductase family protein
Soltu.DM.08G027340,68.75188133,-1.351198721,0.408752785,-3.305662423,0.000947522,0.033926887,AT4G31360,selenium binding
Soltu.DM.08G027950,2225.234157,-1.187312026,0.275663351,-4.307108736,1.65E-05,0.00235347,AT2G45970,cytochrome P450; family 86; subfamily A; polypeptide
Soltu.DM.08G028500,491.3433545,3.547079797,0.934807051,3.794451264,0.00014797,0.010366115,AT1G64110,P-loop containing nucleoside triphosphate hydrolases superfamily protein
Soltu.DM.08G028850,300.7169627,3.587985801,0.731652253,4.90394964,9.39E-07,0.000298535,AT4G23810,WRKY family transcription factor
Soltu.DM.08G029680,122.5506977,1.747244941,0.539731558,3.237248062,0.001206885,0.039628772,AT4G24020,Plant regulator RWP-RK family protein
Soltu.DM.08G029680,122.5506977,1.747244941,0.539731558,3.237248062,0.001206885,0.039628772,AT4G24020,NIN like protein
Soltu.DM.08G030040,1795.417033,3.496119369,0.993090092,3.520445322,0.000430823,0.020613214,AT2G46680,homeobox
Soltu.DM.09G000490,1309.871294,-1.321239273,0.324563715,-4.07081633,4.68E-05,0.004678421,AT2G38110,glycerol-3-phosphate acyltransferase
